epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7515,2.1407,3.08656,2.17972,0.00178,0.41954,0.00313,0.00077,3.53902,4.22595,3.32601,0.09109,9e-05,9e-05
2,61.2879,2.1802,2.82907,2.07705,0.00164,0.38793,0.0023,0.00048,3.86494,4.12541,3.53268,0.08119,0.000189954,0.000189954
3,66.8148,2.15419,2.78872,2.13381,0.02567,0.0431,0.00502,0.00128,3.80757,4.30107,4.3123,0.0712897,0.000289717,0.000289717
4,72.5061,2.27124,3.00891,2.24038,0.07704,0.06322,0.02449,0.00573,3.22553,7.53269,4.06154,0.0613891,0.000389143,0.000389143
5,78.2675,2.24302,2.99929,2.30626,0.0085,0.29598,0.00539,0.00166,2.82636,143.057,5.86162,0.0514881,0.000488087,0.000488087
6,83.7344,2.24156,2.98712,2.30542,0.0108,0.08046,0.00683,0.00211,2.75006,185.904,5.4864,0.0415864,0.000586404,0.000586404
7,89.6014,2.28933,2.93347,2.35738,0.01253,0.25575,0.01397,0.00384,2.85934,114.698,6.15632,0.031684,0.00068395,0.00068395
8,95.5827,2.23626,2.91756,2.30428,0.02468,0.2069,0.02261,0.00793,2.81901,74.0748,4.69561,0.0217806,0.000780582,0.000780582
9,101.645,2.1571,2.86701,2.2591,0.11538,0.00862,0.01155,0.00209,3.24818,372.159,5.56156,0.0118762,0.000876159,0.000876159
10,107.196,2.26587,2.96113,2.29208,0.01045,0.29885,0.00795,0.00195,3.33594,178.599,7.54758,0.00197054,0.000970542,0.000970542
11,113.039,2.3253,2.98258,2.34619,0.02141,0.16667,0.01037,0.00263,3.38187,77.8028,4.72903,0.000975773,0.000975773,0.000975773
12,118.91,2.30632,2.94379,2.32817,0.03655,0.06034,0.00812,0.0025,3.85443,21.4163,4.31851,0.000970736,0.000970736,0.000970736
13,124.887,2.23965,2.99072,2.28302,0.02024,0.06897,0.00466,0.00141,3.33399,93.5351,4.44303,0.000965239,0.000965239,0.000965239
14,130.923,2.19494,2.9041,2.28632,0.00345,0.18391,0.0019,0.00047,3.27569,142.082,5.66053,0.000959289,0.000959289,0.000959289
15,136.607,2.18987,2.87402,2.27893,0.00111,0.26149,0.0007,0.00022,3.37733,910.932,5.13775,0.000952889,0.000952889,0.000952889
16,142.154,2.16034,2.86342,2.26437,0.04479,0.13793,0.02417,0.00773,2.87348,44.3966,3.50519,0.000946048,0.000946048,0.000946048
17,147.628,2.11052,2.76826,2.18856,0.04639,0.16667,0.01967,0.00607,2.90065,23.9752,3.54077,0.000938772,0.000938772,0.000938772
18,153.132,2.12707,2.84473,2.22728,0.04116,0.11494,0.01828,0.00614,2.83585,21.972,3.36199,0.000931067,0.000931067,0.000931067
19,158.642,2.15645,2.81877,2.25694,0.06607,0.13218,0.02971,0.00953,2.78018,11.8358,3.14672,0.000922942,0.000922942,0.000922942
